date,s1_total,s1_da,s1_imb,s2_total,s2_da,s2_imb,s2_curt,s3_total,s3_da,s3_imb,s3_curt,n_solar_qh
2026-01-01,4.0289015785625,11.689191652444999,-7.6602900738825,3.9472343785625004,11.689191652444999,-7.7419572738825,1,7.3162704618687515,8.1824341567115,-0.8661636948427485,1,31
2026-01-02,175.6567641982449,153.23903379555787,22.417730402687045,162.37594666074492,153.23903379555787,9.136912865187046,9,142.06864864377144,107.2673236568905,34.80132498688094,8,35
2026-01-03,227.87670116038424,234.52943395329032,-6.652732792906116,227.87670116038424,234.52943395329032,-6.652732792906116,0,217.62365922039396,164.17060376730325,53.45305545309073,0,35
2026-01-04,180.19783571459644,160.9149176481,19.282918066496446,125.84374494584645,160.9149176481,-35.07117270225355,8,176.00508380021753,112.64044235367,63.364641446547516,0,35
2026-01-05,52.22083919820543,36.20670641896908,16.014132779236363,52.22083919820543,36.20670641896908,16.014132779236363,0,61.218784933743805,25.344694493278347,35.87409044046546,0,27
2026-01-06,36.39762577958341,33.148661160345256,3.2489646192381527,36.39762577958341,33.148661160345256,3.2489646192381527,0,57.2818015757084,23.204062812241673,34.07773876346671,0,30
2026-01-07,35.71682360353143,32.03959660653899,3.6772269969924367,35.71682360353143,32.03959660653899,3.6772269969924367,0,35.199674883722004,22.427717624577298,12.771957259144706,0,31
2026-01-08,106.40216430261168,95.1626648958679,11.239499406743775,106.40216430261168,95.1626648958679,11.239499406743775,0,131.0252475805782,66.61386542710753,64.41138215347064,0,30
2026-01-09,170.7061402100557,155.59877311084904,15.107367099206662,170.7061402100557,155.59877311084904,15.107367099206662,0,186.567295029539,108.91914117759431,77.64815385194467,0,35
2026-01-10,189.4081257846283,178.38859498054603,11.019530804082308,187.8442889908783,178.38859498054603,9.455694010332309,1,202.50248092798984,124.8720164863822,77.63046444160761,0,35
2026-01-11,85.30519231537392,80.81535322364401,4.489839091729915,85.30519231537392,80.81535322364401,4.489839091729915,0,82.01746272701175,56.5707472565508,25.446715470460944,0,35
2026-01-12,26.97129904607094,27.52840534113885,-0.5571062950679162,26.97129904607094,27.52840534113885,-0.5571062950679162,0,28.318180954124653,19.269883738797198,9.04829721532746,0,31
2026-01-13,23.541135443536113,24.0069750689678,-0.4658396254316849,23.541135443536113,24.0069750689678,-0.4658396254316849,0,24.37398514797528,16.80488254827746,7.569102599697821,0,28
2026-01-14,133.92757317494454,133.44979373995096,0.4777794349935507,133.92757317494454,133.44979373995096,0.4777794349935507,0,122.32482630308616,93.41485561796566,28.90997068512049,0,34
2026-01-15,208.41753669709192,190.71285346544366,17.704683231648232,185.1193218345919,190.71285346544366,-5.593531630851773,10,177.46054089046433,133.49899742581056,43.96154346465377,0,34
2026-01-16,406.10337178599394,435.28822438053874,-29.184852594544793,406.10337178599394,435.28822438053874,-29.184852594544793,0,381.4490024189457,304.7017570663771,76.74724535256865,0,35
2026-01-17,363.1113705048768,386.05893524656403,-22.947564741687245,363.1113705048768,386.05893524656403,-22.947564741687245,0,334.33037169716374,270.2412546725948,64.08911702456895,0,35
2026-01-18,355.93937774907505,400.6834572380175,-44.7440794889425,355.93937774907505,400.6834572380175,-44.7440794889425,0,376.1281331956025,280.4784200666123,95.64971312899026,0,35
2026-01-19,190.11567183710207,187.34988233909968,2.7657894980023845,190.11567183710207,187.34988233909968,2.7657894980023845,0,179.62679979347143,131.14491763736976,48.481882156101676,0,35
2026-01-20,47.57149107698805,45.58925484215233,1.9822362348357205,47.57149107698805,45.58925484215233,1.9822362348357205,0,49.78489666576663,31.912478389506624,17.872418276260007,0,30
