timestamp,date,hour,is_weekend,volume,isp,forecast_volume,mfrr_ratio_neg,afrr_ratio_neg,discharge_kwh,forced_kwh,smart_kwh,total_charge_kwh,soc_kwh,cost_eur,is_smart_neg_isp,strategy
2026-01-01 03:15:00,2026-01-01,3,False,-84.48,87.35,-135.63,100.0,87.52,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 03:15:00,2026-01-01,3,False,-84.48,87.35,-135.63,100.0,87.52,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 03:30:00,2026-01-01,3,False,-113.72,89.74,-112.81,100.0,87.93,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 03:30:00,2026-01-01,3,False,-113.72,89.74,-112.81,100.0,87.93,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 03:30:00,2026-01-01,3,False,-113.72,89.74,-112.81,100.0,87.93,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 03:45:00,2026-01-01,3,False,59.39,32.06,-69.21,100.0,89.41,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 03:45:00,2026-01-01,3,False,59.39,32.06,-69.21,100.0,89.41,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 03:45:00,2026-01-01,3,False,59.39,32.06,-69.21,100.0,89.41,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
2026-01-01 04:00:00,2026-01-01,4,False,-52.77,78.64,-16.41,100.0,83.73,0.0,0.0,0.0,0.0,41.25,0.0,False,S1
2026-01-01 04:00:00,2026-01-01,4,False,-52.77,78.64,-16.41,100.0,83.73,0.0,0.0,0.0,0.0,33.0,0.0,False,S2
2026-01-01 04:00:00,2026-01-01,4,False,-52.77,78.64,-16.41,100.0,83.73,0.0,0.0,0.0,0.0,33.0,0.0,False,S_BE_OPT
