date,s1_total,s1_da,s1_imb,s2_total,s2_da,s2_imb,s2_curt,s3_total,s3_da,s3_imb,s3_curt,s4_total,s4_da,s4_imb,s4_curt,n_solar_qh
2026-01-01,4.0289015785625,11.689191652444999,-7.6602900738825,7.95580627132,9.787078636801251,-1.83127236548125,0,9.64396171740625,5.844595826222499,3.7993658911837502,0,7.95580627132,9.787078636801251,-1.83127236548125,0,31
2026-01-02,175.6567641982449,153.23903379555787,22.417730402687045,159.0391943482449,153.23903379555787,5.800160552687044,3,155.32134014287246,76.61951689777894,78.70182324509352,3,146.37023666074492,153.23903379555787,-6.868797134812958,5,35
2026-01-03,227.87670116038424,234.52943395329032,-6.652732792906116,227.87670116038424,234.52943395329032,-6.652732792906116,0,210.7882979270671,117.26471697664516,93.52358095042194,0,227.87670116038424,234.52943395329032,-6.652732792906116,0,35
2026-01-04,180.19783571459644,160.9149176481,19.282918066496446,180.19783571459644,160.9149176481,19.282918066496446,0,173.20991585729823,80.45745882405,92.75245703324822,0,180.19783571459644,160.9149176481,19.282918066496446,0,35
2026-01-05,52.22083919820543,36.20670641896908,16.014132779236363,52.22083919820543,36.20670641896908,16.014132779236363,0,67.21741542410271,18.10335320948454,49.11406221461817,0,52.22083919820543,36.20670641896908,16.014132779236363,0,27
2026-01-06,36.39762577958341,33.148661160345256,3.2489646192381567,36.39762577958341,33.148661160345256,3.2489646192381567,0,71.20458543979171,16.574330580172628,54.630254859619086,0,36.39762577958341,33.148661160345256,3.2489646192381567,0,30
2026-01-07,35.71682360353143,32.03959660653899,3.6772269969924363,35.71682360353143,32.03959660653899,3.6772269969924363,0,34.85490907051572,16.019798303269496,18.83511076724622,0,35.71682360353143,32.03959660653899,3.6772269969924363,0,31
2026-01-08,106.40216430261168,95.1626648958679,11.239499406743779,106.40216430261168,95.1626648958679,11.239499406743779,0,147.44063643255583,47.58133244793395,99.85930398462187,0,106.40216430261168,95.1626648958679,11.239499406743779,0,30
2026-01-09,170.7061402100557,155.59877311084904,15.107367099206662,170.7061402100557,155.59877311084904,15.107367099206662,0,197.14139824252786,77.79938655542452,119.34201168710332,0,170.7061402100557,155.59877311084904,15.107367099206662,0,35
2026-01-10,189.4081257846283,178.38859498054603,11.019530804082308,189.4081257846283,178.38859498054603,11.019530804082308,0,211.23205102356417,89.19429749027302,122.03775353329115,0,189.4081257846283,178.38859498054603,11.019530804082308,0,35
2026-01-11,85.30519231537392,80.81535322364401,4.489839091729915,85.30519231537392,80.81535322364401,4.489839091729915,0,79.82564300143696,40.407676611822005,39.41796638961495,0,85.30519231537392,80.81535322364401,4.489839091729915,0,35
2026-01-12,26.97129904607094,27.52840534113885,-0.5571062950679162,26.97129904607094,27.52840534113885,-0.5571062950679162,0,29.216102226160466,13.764202670569425,15.45189955559104,0,26.97129904607094,27.52840534113885,-0.5571062950679162,0,31
2026-01-13,23.541135443536113,24.0069750689678,-0.4658396254316849,23.541135443536113,24.0069750689678,-0.4658396254316849,0,24.929218284268057,12.0034875344839,12.925730749784158,0,23.541135443536113,24.0069750689678,-0.4658396254316849,0,28
2026-01-14,133.92757317494454,133.44979373995096,0.4777794349935507,133.92757317494454,133.44979373995096,0.4777794349935507,0,114.58966172184725,66.72489686997548,47.864764851871776,0,133.92757317494454,133.44979373995096,0.4777794349935507,0,34
2026-01-15,208.41753669709192,190.71285346544366,17.704683231648232,208.41753669709192,190.71285346544366,17.704683231648232,0,156.82254368604595,95.35642673272183,61.46611695332412,0,208.41753669709192,190.71285346544366,17.704683231648232,0,34
2026-01-16,406.10337178599394,435.28822438053874,-29.184852594544793,402.705125629744,435.28822438053874,-32.58309875079479,3,361.61451001799696,217.64411219026937,143.9703978277276,3,402.705125629744,435.28822438053874,-32.58309875079479,3,35
2026-01-17,363.1113705048768,386.05893524656403,-22.947564741687245,363.1113705048768,386.05893524656403,-22.947564741687245,0,315.1430391586884,193.02946762328202,122.11357153540638,0,363.1113705048768,386.05893524656403,-22.947564741687245,0,35
2026-01-18,355.93937774907505,400.6834572380175,-44.7440794889425,355.93937774907505,400.6834572380175,-44.7440794889425,0,389.58730349328755,200.34172861900876,189.24557487427876,0,355.93937774907505,400.6834572380175,-44.7440794889425,0,35
2026-01-19,190.11567183710207,187.34988233909968,2.7657894980023845,190.11567183710207,187.34988233909968,2.7657894980023845,0,172.634218431051,93.67494116954984,78.9592772615012,0,190.11567183710207,187.34988233909968,2.7657894980023845,0,35
2026-01-20,47.57149107698805,45.58925484215233,1.9822362348357205,47.57149107698805,45.58925484215233,1.9822362348357205,0,51.26050039161902,22.794627421076164,28.46587297054286,0,47.57149107698805,45.58925484215233,1.9822362348357205,0,30
2026-01-21,134.23050539817865,116.1339448831223,18.096560515056346,134.23050539817865,116.1339448831223,18.096560515056346,0,126.5116910147143,58.06697244156115,68.44471857315317,0,134.23050539817865,116.1339448831223,18.096560515056346,0,33
2026-01-22,80.78428091374352,77.71700151098094,3.067279402762565,80.78428091374352,77.71700151098094,3.067279402762565,0,89.36915281937175,38.85850075549047,50.51065206388128,0,80.78428091374352,77.71700151098094,3.067279402762565,0,34
2026-01-23,282.88619327947504,257.7299737637889,25.156219515686157,282.88619327947504,257.7299737637889,25.156219515686157,0,291.3648171522375,128.86498688189445,162.4998302703431,0,282.88619327947504,257.7299737637889,25.156219515686157,0,35
2026-01-24,160.74947759836806,159.23069772797453,1.5187798703935371,160.74947759836806,159.23069772797453,1.5187798703935371,0,158.81162732418403,79.61534886398726,79.19627846019677,0,160.74947759836806,159.23069772797453,1.5187798703935371,0,30
2026-01-25,48.85826174703007,51.241077241644035,-2.3828154946139595,48.85826174703007,51.241077241644035,-2.3828154946139595,0,46.20035858289003,25.620538620822018,20.579819962068022,0,48.85826174703007,51.241077241644035,-2.3828154946139595,0,34
2026-01-26,77.99141010727547,70.36858927879592,7.622820828479546,77.99141010727547,70.36858927879592,7.622820828479546,0,73.53330835051273,35.18429463939796,38.34901371111478,0,77.99141010727547,70.36858927879592,7.622820828479546,0,31
2026-01-27,98.59844125357401,116.25128330654168,-17.65284205296767,73.31494122232402,116.25128330654168,-42.93634208421767,8,76.648868779912,58.12564165327084,18.523227126641164,8,73.31494122232402,116.25128330654168,-42.93634208421767,8,37
2026-01-28,274.4737355344869,232.11274238214838,42.360993152338466,274.4737355344869,232.11274238214838,42.360993152338466,0,252.94205423286843,116.05637119107419,136.88568304179424,0,274.4737355344869,232.11274238214838,42.360993152338466,0,39
2026-01-29,181.78847182562816,163.6320100994343,18.156461726193882,181.78847182562816,163.6320100994343,18.156461726193882,0,190.6196004159391,81.81600504971715,108.80359536622196,0,181.78847182562816,163.6320100994343,18.156461726193882,0,38
2026-01-30,252.7165439230169,229.84708064208178,22.869463280935133,252.7165439230169,229.84708064208178,22.869463280935133,0,228.10886440838345,114.92354032104089,113.18532408734258,0,252.7165439230169,229.84708064208178,22.869463280935133,0,37
2026-01-31,65.28980140034008,61.24419738459063,4.045604015749456,65.28980140034008,61.24419738459063,4.045604015749456,0,54.732089153295036,30.622098692295314,24.10999046099973,0,65.28980140034008,61.24419738459063,4.045604015749456,0,36
2026-02-01,68.85358813466,38.582116555027504,30.271471579632504,68.85358813466,38.582116555027504,30.271471579632504,0,63.071259982955,19.291058277513752,43.78020170544125,0,68.85358813466,38.582116555027504,30.271471579632504,0,39
2026-02-02,63.596042004446666,55.358728331230296,8.23731367321637,63.596042004446666,55.358728331230296,8.23731367321637,0,68.75021962097333,27.679364165615148,41.070855455358185,0,63.596042004446666,55.358728331230296,8.23731367321637,0,36
2026-02-03,214.9701989451976,193.05864480232628,21.911554142871317,214.9701989451976,193.05864480232628,21.911554142871317,0,198.9511775538488,96.52932240116314,102.42185515268565,0,214.9701989451976,193.05864480232628,21.911554142871317,0,38
2026-02-04,97.64514267562487,86.6115975771254,11.033545098499477,97.64514267562487,86.6115975771254,11.033545098499477,0,98.55386584406244,43.3057987885627,55.24806705549973,0,97.64514267562487,86.6115975771254,11.033545098499477,0,36
2026-02-05,88.95057610874468,101.77985302448613,-12.829276915741419,88.95057610874468,101.77985302448613,-12.829276915741419,0,102.75175733562234,50.889926512243065,51.86183082337929,0,88.95057610874468,101.77985302448613,-12.829276915741419,0,39
2026-02-06,78.36843055418544,76.16098368120794,2.2074468729774797,65.05051695659645,73.51723997234441,-8.466723015747961,0,45.046621408342716,38.08049184060397,6.966129567738741,0,65.05051695659645,73.51723997234441,-8.466723015747961,0,39
2026-02-07,98.50064533933633,95.3901530576233,3.1104922817130385,118.50010727944981,81.16624739224672,37.33385988720308,0,66.88552349779316,47.69507652881165,19.190446968981515,0,118.50010727944981,81.16624739224672,37.33385988720308,0,35
2026-02-08,106.49157962198296,104.21205007742341,2.27952954455955,106.49157962198296,104.21205007742341,2.27952954455955,0,101.59709862974148,52.10602503871171,49.491073591029775,0,106.49157962198296,104.21205007742341,2.27952954455955,0,39
2026-02-09,260.3214879674041,255.263466808126,5.058021159278098,260.3214879674041,255.263466808126,5.058021159278098,0,258.730429949327,127.631733404063,131.09869654526406,0,260.3214879674041,255.263466808126,5.058021159278098,0,39
2026-02-10,-9.656199174078951,82.24874022766991,-91.90493940174888,-28.36060523657895,82.24874022766991,-110.60934546424888,4,223.8268015567105,41.124370113834956,182.70243144287554,4,-28.36060523657895,82.24874022766991,-110.60934546424888,4,38
2026-02-11,36.77824514802949,20.494346225979477,16.28389892205001,45.05829257068156,14.382728610146946,30.675563960534607,0,46.83126629588975,10.247173112989739,36.584093182900006,0,45.05829257068156,14.382728610146946,30.675563960534607,0,39
2026-02-12,37.435246180676465,60.969369795477505,-23.534123614801036,176.90545545918945,51.01153857103214,125.89391688815732,0,145.78101911221324,30.484684897738752,115.29633421447448,0,176.90545545918945,51.01153857103214,125.89391688815732,0,39
2026-02-13,423.4715637053905,411.7924495835192,11.679114121871368,423.4715637053905,411.7924495835192,11.679114121871368,0,506.8609280308203,205.8962247917596,300.96470323906067,0,423.4715637053905,411.7924495835192,11.679114121871368,0,39
2026-02-14,40.58308182069455,64.13690475023927,-23.55382292954471,157.21858663940176,34.16313788760078,123.05544875180101,0,157.34282625722227,32.068452375119634,125.27437388210265,0,157.21858663940176,34.16313788760078,123.05544875180101,0,39
2026-02-15,75.36407286301235,56.65169913945925,18.712373723553103,189.00658452167784,42.253002974244055,146.7535815474338,0,170.09638477838118,28.325849569729623,141.77053520865155,0,189.00658452167784,42.253002974244055,146.7535815474338,0,39
2026-02-16,52.8350570999265,53.34292621318407,-0.5078691132575708,272.11401694418345,40.76161436591024,231.35240257827314,0,286.17275870933827,26.671463106592036,259.50129560274615,0,272.11401694418345,40.76161436591024,231.35240257827314,0,39
2026-02-17,110.48368365776508,107.12051369719799,3.36316996056709,73.8728550817349,90.7534264305038,-16.880571348768893,0,98.43974636013255,53.560256848598996,44.87948951153355,0,73.8728550817349,90.7534264305038,-16.880571348768893,0,39
2026-02-18,125.4877128407654,92.88207582464292,32.60563701612247,160.46283411756417,77.76515030541856,82.69768381214561,0,165.11907675475769,46.44103791232146,118.67803884243624,0,160.46283411756417,77.76515030541856,82.69768381214561,0,39
2026-02-19,76.75268596492455,77.66969389389622,-0.9170079289716723,50.91802545290322,71.78899456226375,-20.870969109360534,12,50.96758476996227,38.83484694694811,12.132737823014164,12,10.367569127903225,71.78899456226375,-61.42142543436053,32,39
2026-02-20,180.2538210124582,183.77910315605806,-3.5252821435998816,155.30357510217453,163.2575251278651,-7.953950025690595,8,70.7359483718541,91.88955157802903,-21.15360320617495,8,155.23419540842454,163.2575251278651,-8.02332971944059,17,39
2026-02-21,-32.18289258299905,12.38707367276752,-44.56996625576658,89.93095330115284,7.940046868291822,81.99090643286101,25,43.82057053037548,6.19353683638376,37.627033693991706,34,159.64881528865283,7.940046868291822,151.70876842036103,30,39
2026-02-22,-4.188236710299092,1.7615982259655014,-5.949834936264595,147.72962358923166,0.9146331238049482,146.81499046542675,14,-11.819878830149552,0.8807991129827507,-12.700677943132305,36,142.25089608923167,0.9146331238049482,141.33626296542673,15,39
2026-02-23,16.670001332483825,29.05297415208783,-12.382972819604008,-147.13294918123444,23.537374403731928,-170.67032358496638,0,-111.7118105650081,14.526487076043916,-126.23829764105199,0,-147.13294918123444,23.537374403731928,-170.67032358496638,0,39
