date,s1_total,s1_da,s1_imb,s2_total,s2_da,s2_imb,s2_curt,s3_total,s3_da,s3_imb,s3_curt,n_solar_qh,prod_mwh_day
2025-01-01,4.053482546353205,4.393644624701167,-0.34016207834796214,1.5687946154658188,2.7436208797570893,-1.1748262642912706,0,-0.8690097766771796,0.43936446247011685,-1.3083742391472968,0,28,0.16912
2025-01-02,87.12820184688832,78.71996698036892,8.408234866519404,87.12820184688832,78.71996698036892,8.408234866519404,0,68.10810451262634,7.871996698036892,60.23610781458944,0,33,0.6646
2025-01-03,44.59288526924934,49.45880554945409,-4.865920280204747,44.59288526924934,49.45880554945409,-4.865920280204747,0,12.465297280049931,4.9458805549454095,7.519416725104522,0,30,0.40573
2025-01-04,50.29977925882853,48.25044675553127,2.049332503297252,50.29977925882853,48.25044675553127,2.049332503297252,0,43.084973928570356,4.825044675553128,38.25992925301722,0,22,0.40184
2025-01-05,10.39670507776447,10.476274179337905,-0.07956910157343655,10.39670507776447,10.476274179337905,-0.07956910157343655,0,52.57130734627645,1.0476274179337906,51.52367992834265,0,24,0.17387
2025-01-06,27.771160676429204,19.773309941338226,7.997850735090975,27.771160676429204,19.773309941338226,7.997850735090975,0,50.30226583051791,1.977330994133823,48.324934836384095,0,29,0.5334899999999999
2025-01-07,8.85457384272247,11.199018675205982,-2.3444448324835117,8.85457384272247,11.199018675205982,-2.3444448324835117,0,16.352186586709745,1.1199018675205983,15.232284719189147,0,18,0.11659
2025-01-08,97.1402343924174,88.21309089185107,8.927143500566345,97.1402343924174,88.21309089185107,8.927143500566345,0,166.62772530286674,8.821309089185107,157.80641621368164,0,31,0.84104
2025-01-09,148.01853306872215,194.40925069897645,-46.39071763025427,148.01853306872215,194.40925069897645,-46.39071763025427,0,561.0427142849348,19.440925069897645,541.6017892150371,0,31,1.85846
2025-01-10,77.00488397774669,82.82320364187159,-5.818319664124898,77.00488397774669,82.82320364187159,-5.818319664124898,0,84.98562974189966,8.282320364187159,76.7033093777125,0,35,0.68177
2025-01-11,69.77279151751854,46.506851898194725,23.265939619323824,69.77279151751854,46.506851898194725,23.265939619323824,0,87.36817331550185,4.650685189819471,82.7174881256824,0,31,0.55841
2025-01-12,59.64016184406127,45.01791586544648,14.622245978614787,59.64016184406127,45.01791586544648,14.622245978614787,0,63.73412891715613,4.501791586544648,59.23233733061148,0,34,0.52372
2025-01-13,24.40985678828233,22.645627856489554,1.764228931792775,24.40985678828233,22.645627856489554,1.764228931792775,0,18.870590922015733,2.2645627856489554,16.606028136366778,0,27,0.21758
2025-01-14,211.55618124989792,299.0323041204068,-87.47612287050887,211.55618124989792,299.0323041204068,-87.47612287050887,0,308.6810567998648,29.90323041204068,278.7778263878241,0,35,2.0346599999999997
2025-01-15,232.2666842108718,197.26976743564185,34.99691677522992,232.2666842108718,197.26976743564185,34.99691677522992,0,223.5271334674622,19.726976743564187,203.800156723898,0,31,0.90051
2025-01-16,198.1813876289165,223.5249192520102,-25.3435316230937,198.1813876289165,223.5249192520102,-25.3435316230937,0,275.1740782180791,22.35249192520102,252.82158629287812,0,35,1.47592
2025-01-17,80.60949847260828,101.16802206683082,-20.55852359422253,80.60949847260828,101.16802206683082,-20.55852359422253,0,162.55976238688584,10.116802206683083,152.44296018020273,0,29,0.67685
2025-01-18,209.79485057673492,253.71661845009174,-43.92176787335683,209.79485057673492,253.71661845009174,-43.92176787335683,0,361.56119939479845,25.37166184500918,336.1895375497893,0,35,1.7810899999999998
2025-01-19,415.86356131651723,560.2374505566328,-144.37388924011555,415.86356131651723,560.2374505566328,-144.37388924011555,0,652.0872281898393,56.02374505566328,596.063483134176,0,35,3.82927
2025-01-20,841.1507812385296,842.6646743585284,-1.5138931199988122,841.1507812385296,842.6646743585284,-1.5138931199988122,0,1422.538819578353,84.26646743585285,1338.2723521425,0,35,3.7297700000000003
2025-01-21,676.5210879362256,485.690875553108,190.83021238311758,676.5210879362256,485.690875553108,190.83021238311758,0,799.5019805342477,48.56908755531081,750.9328929789367,0,35,3.61974
2025-01-22,86.17956521648202,87.92541208052441,-1.7458468640423852,86.17956521648202,87.92541208052441,-1.7458468640423852,0,80.0646515578357,8.792541208052441,71.27211034978326,0,31,0.48823000000000005
2025-01-23,64.01432400146729,75.96110502588262,-11.946781024415326,64.01432400146729,75.96110502588262,-11.946781024415326,0,42.825683781521725,7.59611050258826,35.229573278933465,0,33,0.51193
2025-01-24,32.30830299379644,29.562294053240272,2.7460089405561687,32.30830299379644,29.562294053240272,2.7460089405561687,0,25.503840670504644,2.956229405324027,22.547611265180617,0,34,0.42515000000000003
2025-01-25,31.42827877551807,32.12285630239484,-0.6945775268767689,31.42827877551807,32.12285630239484,-0.6945775268767689,0,44.31331319405181,3.212285630239484,41.10102756381232,0,27,0.41354
2025-01-26,21.87137103195026,37.49605492966381,-15.624683897713547,21.87137103195026,37.49605492966381,-15.624683897713547,0,59.204704007257526,3.749605492966381,55.455098514291144,0,30,0.35028000000000004
2025-01-27,26.94048364687058,17.080362200681186,9.860121446189392,26.94048364687058,17.080362200681186,9.860121446189392,0,17.374118388187057,1.7080362200681187,15.666082168118939,0,30,0.44015000000000004
2025-01-28,43.743449602019325,49.07347341222485,-5.330023810205526,43.743449602019325,49.07347341222485,-5.330023810205526,0,42.61226429170193,4.9073473412224855,37.70491695047944,0,35,0.48534000000000005
2025-01-29,253.96283369805366,295.3173352829865,-41.354501584932834,253.96283369805366,295.3173352829865,-41.354501584932834,0,422.48121657861793,29.531733528298652,392.9494830503192,0,35,3.24568
2025-01-30,48.75452569311261,44.37542568920072,4.379100003911894,48.75452569311261,44.37542568920072,4.379100003911894,0,40.10566237049876,4.4375425689200725,35.66811980157869,0,31,0.3906799999999999
2025-01-31,96.91509030938393,89.36670879920456,7.548381510179356,96.91509030938393,89.36670879920456,7.548381510179356,0,62.93722991587589,8.936670879920456,54.00055903595543,0,35,0.8166899999999999
2025-02-01,105.6367896827736,93.98736731369245,11.649422369081151,105.6367896827736,93.98736731369245,11.649422369081151,0,147.53867692633986,9.398736731369246,138.13994019497062,0,35,0.82931
2025-02-02,35.00883550807076,35.004403379326405,0.004432128744348677,35.00883550807076,35.004403379326405,0.004432128744348677,0,28.059680071807072,3.500440337932641,24.559239733874435,0,29,0.29496
2025-02-03,261.60567898252015,246.5283760308026,15.077302951717595,261.60567898252015,246.5283760308026,15.077302951717595,0,231.57949448562704,24.65283760308026,206.92665688254675,0,35,1.74551
2025-02-04,100.56461147648218,118.68921146644081,-18.124599989958632,100.56461147648218,118.68921146644081,-18.124599989958632,0,178.1856324845857,11.868921146644082,166.31671133794163,0,34,0.7080500000000001
2025-02-05,180.41271534167643,216.02928239974676,-35.61656705807033,180.41271534167643,216.02928239974676,-35.61656705807033,0,407.7571451480427,21.602928239974677,386.15421690806795,0,35,1.4134200000000001
2025-02-06,153.69016777485078,169.38722989182023,-15.697062116969452,153.69016777485078,169.38722989182023,-15.697062116969452,0,118.20449674986008,16.938722989182022,101.26577376067806,0,33,0.9658100000000001
2025-02-07,293.95687171252405,573.8089706762017,-279.8520989636777,293.95687171252405,573.8089706762017,-279.8520989636777,0,564.5481268036274,57.38089706762018,507.16722973600724,0,34,3.0715500000000002
2025-02-08,45.965687662615295,72.51277677441877,-26.547089111803473,45.965687662615295,72.51277677441877,-26.547089111803473,0,17.67967810238653,7.251277677441878,10.42840042494465,0,33,0.47745
2025-02-09,209.2065448937655,215.47037490126462,-6.263830007499108,209.2065448937655,215.47037490126462,-6.263830007499108,0,163.17561609606406,21.547037490126463,141.6285786059376,0,35,1.63501
2025-02-10,61.686780106079425,83.7949959550595,-22.108215848980066,61.686780106079425,83.7949959550595,-22.108215848980066,0,116.50694108710795,8.37949959550595,108.12744149160199,0,32,0.47918
2025-02-11,178.22891270832417,385.94439462893394,-207.71548192060982,178.22891270832417,385.94439462893394,-207.71548192060982,0,634.0128621812074,38.5944394628934,595.4184227183141,0,35,1.76485
2025-02-12,397.4948832950247,402.36248083747546,-4.867597542450746,397.4948832950247,402.36248083747546,-4.867597542450746,0,598.3596851772525,40.23624808374754,558.1234370935049,0,35,2.54934
2025-02-13,590.9993221039202,932.6905094000115,-341.69118729609136,590.9993221039202,932.6905094000115,-341.69118729609136,0,753.2194835406419,93.26905094000116,659.9504326006409,0,39,3.6410800000000005
2025-02-14,745.4342346969966,805.001087175681,-59.566852478684375,745.4342346969966,805.001087175681,-59.566852478684375,0,892.4230565015122,80.5001087175681,811.9229477839441,0,39,4.5933
2025-02-15,570.0029317458617,498.6464589436907,71.35647280217097,570.0029317458617,498.6464589436907,71.35647280217097,0,576.6683768125862,49.864645894369076,526.8037309182172,0,39,4.6924600000000005
2025-02-16,552.8118946044553,604.7464831421343,-51.934588537678934,552.8118946044553,604.7464831421343,-51.934588537678934,0,304.42724084413305,60.474648314213425,243.95259252991957,0,39,4.54481
2025-02-17,597.2831899866353,659.9643922048774,-62.68120221824213,597.2831899866353,659.9643922048774,-62.68120221824213,0,748.3781908146635,65.99643922048774,682.3817515941757,0,39,4.60693
2025-02-18,560.7327061325818,586.2953451054245,-25.562638972842525,560.7327061325818,586.2953451054245,-25.562638972842525,0,524.4187923025706,58.62953451054244,465.78925779202825,0,39,4.6627
2025-02-19,457.9760147949488,465.4335090674231,-7.457494272474237,457.9760147949488,465.4335090674231,-7.457494272474237,0,574.067242794245,46.54335090674231,527.5238918875025,0,39,3.83894
2025-02-20,327.9984232340728,318.5022979188116,9.496125315261185,327.9984232340728,318.5022979188116,9.496125315261185,0,345.2288807110323,31.850229791881162,313.37865091915114,0,39,3.47845
2025-02-21,265.50930100550175,367.44144913257696,-101.93214812707517,265.50930100550175,367.44144913257696,-101.93214812707517,0,414.1435577507377,36.74414491325769,377.39941283748,0,39,4.06383
2025-02-22,62.09213648874254,74.19323275015333,-12.101096261410795,62.09213648874254,74.19323275015333,-12.101096261410795,0,124.92189138568675,7.4193232750153335,117.5025681106714,0,39,0.94758
